22176,HIST-LBAZ-MA," Master of Arts in HIstory, Liberal Arts Specialization, Plan B"
21832,SAMF-CT, Graduate Certificate in Ski Area Management
22891,APAM-MDSZ-BS," Major in Apparel and Merchandising, Merchandising Concentration"
22500,NUTQ, Minor in Nutrition
23320,EMSF-CT, Graduate Certificate in Embedded Systems
22390,LGSQ, Interdisciplinary Minor in Legal Studies
23000,ECOL-HEIZ-MS," Master of Science in Ecology, Human-Environment Interactions Specialization"
20710,CIVE-BS, Major in Civil Engineering
21568,PLHQ, Minor in Plant Health
23326,AGBU-FRCZ-BS," Major in Agricultural Business, Farm and Ranch Management"
24151,BCHM-ASBZ-BS," Major in Biochemistry, ASBMB Concentration"
23387,DSCI-MATZ-BS," Major in Data Science, Mathematics Concentration"
22799,ARTM-PRTZ-BF," Major in Art (BFA), Printmaking Concentration"
22449,POLS-EPAZ-BA," Major in Political Science, Environmental Politics and Policy Concentration"
23289,EGIS-BS," Dual Degree in Engineering Science, B.S. and International Studies, B.A."
21954,HORT-FLOZ-BS," Major in Horticulture, Floriculture Concentration"
21191,FRST-FMGZ-BS," Major in Forestry, Forest Management Concentration"
23585,BLSC-PHD, Ph.D. in Biological Science
23713,SOCR-BMBZ-BS," Major in Soil and Crop Sciences, Biomass Biofuels Concentration"
21594,EASC-GEZ-PHD," Ph.D. in Earth Sciences, Geosciences Specialization"
22340,OCTH-MOT," Master of Occupational Therapy, Plan C (M.O.T.)"
22630,ETRF, Certificate in Entrepreneurship
21363,BIAG-ENTZ-MS," Master of Science in Bioagricultural Sciences, Plan A, Entomology Specialization"
21432,EVHL-TOXZ-MS," Master of Science in Environmental Health, Toxicology Specialization, Plan B"
22167,HORT-HTHZ-BS," Major in Horticulture, Horticultural Therapy Concentration"
21021,ZOOL-BS, Major in Zoology
23477,STAT-GSTZ-BS," Major in Statistics, General Statistics Concentration"
22495,CRCQ, Minor in Criminology and Criminal Justice
23201,CPEG-MS," Master of Science in Computer Engineering, Plan A"
22142,ECHE-BS, Major in Early Childhood Education
21922,LLAC-LFRZ-MA," Master of Arts in Languages, Literatures, and Cultures, French Specialization, Interdisciplinary Option, Plan A"
21827,TRMG-MTM," Master of Tourism Management, Plan C (M.T.M.)"
21589,THTR-DIRZ-BA," Major in Theatre, Directing Concentration"
23635,ELEG-ELEZ-BS," Major in Electrical Engineering, Electrical Engineering Concentration"
23204,ITPF-CT, Graduate Certificate in Information Technology Project Management
22234,IGRQ, Interdisciplinary Minor in Gerontology
21564,DEMD-INTZ-MS," Master of Science in Design and Merchandising, Plan A, Interior Design Specialization"
23557,FSAN-FDSZ-MS," Master of Science in Food Science and Nutrition, Plan B, Food Science Specialization"
22226,HDFS-PHPZ-BS," Major in Human Development and Family Studies, Pre-Health Professions Concentration"
22005,NAFS-FSNZ-BS," Major in Nutrition and Food Science, Food Safety and Nutrition Concentration"
24244,INBZ," Major in Business Administration, Financial Planning Concentration with International Business Concentration"
22615,BUSA-OIMZ-BS," Major in Business Administration, Organization and Innovation Management Concentration"
22568,BUSA-INSZ-BS," Major in Business Administration, Information Systems Concentration"
22278,INST-EUSZ-BA," Major in International Studies, European Studies Concentration"
20943,CTMG-BS, Major in Construction Management
21856,FACS-FCSZ-BS," Major in Family and Consumer Sciences, Family and Consumer Sciences Education Concentration"
21207,FRSQ, Minor in Forestry
21267,ENGL-TSLZ-MA," Master of Arts in English, Plan A, TESL/TEFL Specialization"
21260,CPSC-MS," Master of Science in Computer Science, Plan A"
22335,LDAR-BS, Major in Landscape Architecture
23859,ENLD-MS," Master of Science in Environmental Leadership, Plan B"
21123,EVHL-BS, Major in Environmental Health
21769,HDNR-MS," Master of Science in Human Dimensions of Natural Resources, Plan A"
22698,IRLQ, Interdisciplinary Minor in Religious Studies
22722,MECH-BMEM-BS," Dual Degree Program: Biomedical Engineering, B.S. combined with Mechanical Engineering, B.S. "
21281,MBIQ, Minor in Mathematical Biology
23610,ELEG-PHD, Ph.D. in Electrical Engineering
24138,IGBQ, Interdisciplinary Minor in Global Studies
23132,BUSA-FPLZ-BS," Major in Business Administration, Financial Planning Concentration"
20834,CMST-DLPZ-MA," Master of Arts in Communication Studies, Plan B, Deliberative Practices Specialization"
23398,REAQ, Minor in Real Estate
23473,ENRQ, Minor in Environmental and Natural Resource Economics
20705,ANTH-IDVZ-MA," Master of Arts in Anthropology, Plan B, International Development Specialization"
21407,MUSC-INCZ-MM," Master of Music, Instrumental Conducting Specialization"
21576,THTR-DTHZ-BA," Major in Theatre, Design and Technology Concentration"
23453,ISEQ, Interdisciplinary Minor in Sustainable Energy
21893,CIM-LLCM-TE," Major in Languages, Literatures, and Cultures, Teaching Endorsement"
21242,CPSC-MCS," Master of Computer Science, Plan C (M.C.S.)"
21050,CTMG-MS," Master of Science in Construction Management, Plan B"
23211,ENGR-CPGZ-ME," Master of Engineering, Plan C, Computer Engineering Specialization"
20937,EQSC-BS, Major in Equine Science
23598,EHRS-ETZ-PHD," Ph.D. in Education and Human Resource Studies,  Education, Equity, and Transformation Specialization"
21986,NAFS-NUSZ-BS," Major in Nutrition and Food Science, Nutritional Sciences Concentration"
23747,AGED-TDLZ-BS," Major in Agricultural Education, Teacher Development Concentration"
21571,THTR-PWDZ-BA," Major in Theatre, Playwriting and Dramatic Literature Concentration"
21709,PSYC-GPSZ-BS," Major in Psychology, General Psychology Concentration"
22507,GNSQ, Minor in General Sociology
22378,PSWF-CT, Graduate Certificate in PreK-12 School Social Worker
22917,MUSC-MUEZ-BM," Major in Music, Music Education Concentration, Choral Option"
21751,ENHR-LDAZ-BS," Major in Environmental Horticulture, Landscape Design and Contracting Concentration"
23244,HLSF-CT, Graduate Certificate in High Impact On-Demand Learning Solutions
20758,AREC-MS," Master of Science in Agricultural and Resource Economics, Plan A"
22198,WRSQ, Minor in Watershed Science
23759,EGSC-SPEZ-BS," Major in Engineering Science, Space Engineering Concentration"
22745,ARTM-ELAZ-BF," Major in Art (BFA), Electronic Art Concentration"
21384,MATH-MTOZ-BS," Major in Mathematics, Mathematics of Information Concentration"
22933,MUSC-PERZ-BM," Major in Music, Performance Concentration, Orchestral Instrument Option"
23561,CPEG-BS, Major in Computer Engineering
23488,CPSC-CPSZ-BS," Major in Computer Science, Computer Science Concentration"
23677,ABIM-DD-MAI," Master of Agribusiness and Food Innovation Management, Plan C"
23366,APFF-CT, Graduate Certificate in Applied Finance
23504,CNCD-MA, Master of Arts in Counseling and Career Development
21598,DEMD-APAZ-MS," Master of Science in Design and Merchandising, Plan B, Apparel and Merchandising Specialization"
22161,HDFS-ECPZ-BS," Major in Human Development and Family Studies, Early Childhood Professions Concentration"
23082,BMSQ, Minor in Biomedical Sciences
21717,EHRS-ESZ-PHD," Ph.D. in Education and Human Resource Studies, Education Sciences Specialization"
23070,FINC-MFIN," Master of Finance, Plan C"
22601,REPF, Certificate in Real Estate Practices
21305,RDHL-HLPZ-MS," Master of Science in Radiological Health Sciences, Health Physics Specialization, Plan B"
23303,ACCY-SZ-MACC," Master of Accountancy, Plan C, Data Analytics and Systems Specialization "
22638,MHRF, Certificate in Managing Human Resources
23766,EGSC-TCEZ-BS," Major in Engineering Science, Teacher Education Concentration"
21133,FRST-FBUZ-BS," Major in Forestry, Forestry-Business Concentration"
22927,MUSC-PERZ-BM," Major in Music, Performance Concentration, Jazz Studies Option"
21850,ENHR-TURZ-BS," Major in Environmental Horticulture, Turf Management Concentration"
23188,CNCD-CCNZ-MA," Master of Arts in Counseling and Career Development, Plan B, Career Counseling Specialization"
21231,BIAG-ENZ-PHD," Ph.D. in Bioagricultural Sciences, Entomology Specialization"
22911,MUSC-COMZ-BM," Major in Music, Composition Concentration"
23457,FSAN-NTRZ-MS," Master of Science in Food Science and Nutrition, Plan A, Nutrition Specialization"
21786,MAST-MAS," Master of Applied Statistics, Plan C (M.A.S.)"
24220,INBZ," Major in Business Administration, Information Systems Concentration with International Business Concentration"
23776,MECH-BS, Major in Mechanical Engineering
22274,BMSC-APSZ-MS," Master of Science in Biomedical Sciences, Plan B, Anatomical and Physiological Sciences Specialization"
23443,ARTI-IVSZ-BA," Major in Art (BA), Integrated Visual Studies Concentration"
22792,ARTM-POTZ-BF," Major in Art (BFA), Pottery Concentration"
21073,BMSC-RPTZ-MS," Master of Science in Biomedical Sciences, Reproductive Technology Specialization, Plan B"
23016,BUSA-BS, Major in Business Administration
23022,BUSA-FINZ-BS," Major in Business Administration, Finance Concentration"
23756,SSCQ, Minor in Soil Science
21203,EVHL-ERZ-PHD," Ph.D. in Environmental Health, Ergonomics Specialization"
23588,BLSC-MS," Master of Science in Biological Science, Plan A"
21031,BMSC-MS," Master of Science in Biomedical Sciences, Plan A"
22503,AGSC-IZ-MAGR," Master of Agriculture in Agricultural Sciences, Integrated Resource Management Specialization"
22974,MUSC-PERZ-BM," Major in Music, Performance Concentration, Voice Option"
22561,IBUF, Certificate in International Business
21777,LGEQ, Minor in German
23594,MAST-DSZ-MAS," Master of Applied Statistics, Plan C, Data Science Specialization"
21325,ETST-MA," Master of Arts in Ethnic Studies, Plan B"
21765,EHRS-HEZ-PHD," Ph.D. in Education and Human Resource Studies, Higher Education Leadership Specialization, College and University Leadership Option"
23051,GSAF-CT, Graduate Certificate in Applied Global Stability: Agriculture
21013,ANMG-MS," Master of Science in Animal Sciences, Plan A"
20735,ARTI-AREZ-BA," Major in Art (BA), Art Education Concentration"
22854,IISQ, Interdisciplinary Minor in Information Science and Technology
23113,BUSQ, Minor in Business Administration
23099,CRMF-DD-CT, Graduate Certificate in Conflict Resolution and Mediation
23532,ENVQ, Minor in Environmental Engineering
22114,HAES-MS," Master of Science in Health and Exercise Science, Plan A"
23006,ECOL-PHD, Ph.D. in Ecology
21277,ENGL-LITZ-MA," Master of Arts in English, Plan B, Literature Specialization"
21515,NSCI-PHEZ-BS," Major in Natural Sciences, Physics Education Concentration"
23622,ENGL-WRHZ-MA," Master of Arts in English, Plan A, Writing, Rhetoric, and Social Change Specialization"
23355,PFMF-DD-CT, Graduate Certificate in Performance Management
20815,SYSE-MS," Master of Science in Systems Engineering, Plan B"
21521,BIAG-PMGZ-MS," Master of Science in Bioagricultural Sciences, Plan B, Pest Management Specialization"
23382,DSCI-CSCZ-BS," Major in Data Science, Computer Science Concentration"
23332,BUSA-FNRZ-MS," Master of Science in Business Administration, Financial Risk Management Specialization"
22461,JAMC-BA, Major in Journalism and Media Communication
21861,FACS-FACZ-BS," Major in Family and Consumer Sciences, Family and Consumer Sciences Concentration"
22838,CIM-WS-GISP, Women's Study Interdisciplinary Studies Program
23061,GSWF-CT, Graduate Certificate in Applied Global Stability: Water Resources
21928,LLAC-LGEZ-MA," Master of Arts in Languages, Literatures, and Cultures, German Specialization, Interdisciplinary Option, Plan A"
23698,SOCR-APIZ-BS," Major in Soil and Crop Sciences, Applied Information Technology Concentration"
20701,BUSA-MBA, Master of Business Administration
21898,SAHE-MS, Master of Science in Student Affairs in Higher Education
22875,ACCY-MACC," Master of Accountancy, Plan C (M.Acc.)"
21455,TOXC-MS," Master of Science in Toxicology, Plan B"
21238,ENGL-WRLZ-BA," Major in English, Writing, Rhetoric and Literacy Concentration"
22489,POLQ, Minor in Political Science
21339,MATH-AMTZ-BS," Major in Mathematics, Applied Mathematics Concentration"
22899,APAM-PDVZ-BS," Major in Apparel and Merchandising, Product Development Concentration"
23661,RECO-BS, Major in Restoration Ecology 
20974,NERO-BCNZ-BS," Major in Neuroscience, Behavioral and Cognitive Neuroscience Concentration"
21198,ENGL-ENEZ-BA," Major in English, English Education Concentration"
